symbol,score,oos_ic,train_ic,train_oos_gap,hit_rate_oos,hit_rate_train,n_signals,chosen_alpha,a,b,c,d,alpha_is_high
JVC,0.4197106099811435,0.32122404543336075,0.5532537976801316,0.23202975224677086,0.14814814814814814,0.6590909090909091,54,1000.0,100,260,35,10,True
KBC,0.4382336395625516,0.5153870374452866,0.5299909217169697,0.014603884271683132,0.2857142857142857,0.6822810590631364,42,1000.0,230,210,35,25,True
KDC,0.3350116430095047,0.21311062381930018,0.4540132986299826,0.2409026748106824,0.47058823529411764,0.6246786632390745,34,1000.0,20,80,50,25,True
KDH,0.4215311975620138,0.5076965903324596,0.5476896856315608,0.03999309529910122,0.23333333333333334,0.6629213483146067,60,1000.0,130,200,60,10,True
KHG,0.3627625826715148,0.2701706543991457,0.5109894702376975,0.24081881583855175,0.5,0.6790697674418604,0,1000.0,240,130,60,40,True
KHP,0.4574926483118081,0.3109184449608094,0.5458270650486797,0.23490862008787033,0.6086956521739131,0.693516699410609,23,1000.0,170,20,55,20,True
KLB,0.31604247223878335,0.18726659693355324,0.4166924061934876,0.22942580925993433,0.5161290322580645,0.6182212581344902,31,1000.0,300,280,30,35,True
KMR,0.31850455992547927,0.713150379043946,0.48441922659774617,-0.2287311524461998,0.17543859649122806,0.599406528189911,57,1000.0,50,270,15,25,True
KOS,0.5413018240279148,0.5334926521717401,0.606381138649727,0.07288848647798685,0.11666666666666667,0.7491525423728813,60,1000.0,110,60,55,25,True
KSB,0.5127137291278131,0.5562515996552136,0.5443611041463144,-0.011890495508899201,0.34146341463414637,0.7395577395577395,41,1000.0,300,30,55,15,True
L10,0.37577076395394765,0.5946311904869614,0.569156337434064,-0.025474853052897428,1.0,0.6171735241502684,7,1000.0,120,50,60,5,True
LAF,0.4174882189432115,0.2744857777196684,0.5129734870389271,0.23848770931925867,0.35,0.6716417910447762,20,1000.0,160,20,55,35,True
LBM,0.40259125547937313,0.32614423059618985,0.5469632815317845,0.22081905093559467,0.21428571428571427,0.648854961832061,14,1000.0,300,20,25,20,True
LCG,0.5064705083684701,0.48965513609831146,0.5460839890419809,0.056428852943669394,0.25,0.7337807606263982,12,1000.0,220,110,20,35,True
LDG,0.37144967267163387,0.2923393222400168,0.5308419236145685,0.2385026013745517,0.16666666666666666,0.6263440860215054,12,432.87612810830615,290,60,15,40,False
